#/**************************************************************
# *                                                            *            
# *  TopoMgr                                                   *
# *                                                            *
# *  Topology handling in BESIII                               *
# *                                                            *
# *  Author: Markus Kuhlmann, Marvin Richter                   *
# *   email: mkuhlmann@ep1.rub.de, mrichter@ep1.rub.de         *
# *                                                            *
# *  Copyright (C) 2016  Markus Kuhlmann, Marvin Richter       *
# *                                                            *
# *                                                            *
# *  Description: Topology handling in BESIII                  *
# *                                                            *
# *  License:                                                  *
# *                                                            *
# *  This file is part of TopoMgr                              *
# *                                                            *
# *  TopoMgr is free software: you can redistribute it and/or  *
# *  modify it under the terms of the GNU General Public       *
# *  License as published by the Free Software Foundation,     *
# *  either version 3 of the License, or (at your option) any  *
# *  later version.                                            *
# *                                                            *
# *  TopoMgr is distributed in the hope that it will be useful,*
# *  but WITHOUT ANY WARRANTY; without even the implied        *
# *  warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR   *
# *  PURPOSE. See the GNU General Public License for more      *
# *  details.                                                  *
# *                                                            *
# *  You should have received a copy of the GNU General        *
# *  Public License along with TopoMgr (license.txt). If not,  *
# *                                                            *
# *                                                            *
# *  see <http://www.gnu.org/licenses/>.                       *
# *                                                            *
# *************************************************************/
#TYPE NAME ID MASS WIDTH MAX_DM 3*CHARGE 2*SPIN LIFETIME LUND-KC
Special Generator 0 0 0 0 0 0 0 0
Parton d 1 0.0099 0 0 -1 1 0 1
Parton anti-d -1 0.0099 0 0 1 1 0 0
Parton u 2 0.0056 0 0 2 1 0 2
Parton anti-u -2 0.0056 0 0 -2 1 0 0
Parton s 3 0.199 0 0 -1 1 0 3
Parton anti-s -3 0.199 0 0 1 1 0 0
Parton c 4 1.35 0 0 2 1 0 4
Parton anti-c -4 1.35 0 0 -2 1 0 0
Parton b 5 5 0 0 -1 1 0 5
Parton anti-b -5 5 0 0 1 1 0 0
Parton t 6 175 0 0 2 1 0 6
Parton anti-t -6 175 0 0 -2 1 0 0
Parton b' 7 400 0 0 -1 1 0 7
Parton anti-b' -7 400 0 0 1 1 0 0
Parton t' 8 500 0 0 2 1 0 8
Parton anti-t' -8 500 0 0 -2 1 0 0
InterBoson g 21 0 0 0 0 2 0 21
Lepton e- 11 0.000510999 0 0 -3 1 0 11
Lepton e+ -11 0.000510999 0 0 3 1 0 0
Lepton nu_e 12 0 0 0 0 1 0 12
Lepton anti-nu_e -12 0 0 0 0 1 0 0
Lepton mu- 13 0.1056584 0 0 -3 1 658654 13
Lepton mu+ -13 0.1056584 0 0 3 1 658654 0
Lepton nu_mu 14 0 0 0 0 1 0 14
Lepton anti-nu_mu -14 0 0 0 0 1 0 0
Lepton tau- 15 1.777 0 0 -3 1 0.0872 15
